"x"
"1" "UNINTEGRATED|g__Absiella.s__Absiella_dolichum"
"340" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_65_45_313"
"341" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_791"
"342" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83"
"343" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_884"
"344" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_94"
"345" "UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_95"
"346" "UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii"
"347" "UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_sp_An10"
"348" "UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans"
"349" "UNINTEGRATED|g__Fusobacterium.s__Fusobacterium_equinum"
"350" "UNINTEGRATED|g__Fusobacterium.s__Fusobacterium_gonidiaformans"
"351" "UNINTEGRATED|g__Fusobacterium.s__Fusobacterium_mortiferum"
"352" "UNINTEGRATED|g__Fusobacterium.s__Fusobacterium_nucleatum"
"353" "UNINTEGRATED|g__Fusobacterium.s__Fusobacterium_sp_CAG_439"
"354" "UNINTEGRATED|g__Fusobacterium.s__Fusobacterium_ulcerans"
"355" "UNINTEGRATED|g__Gardnerella.s__Gardnerella_vaginalis"
"356" "UNINTEGRATED|g__Gemella.s__Gemella_asaccharolytica"
"357" "UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis"
"358" "UNINTEGRATED|g__Gemmiger.s__Gemmiger_sp_An87"
"359" "UNINTEGRATED|g__Gordonibacter.s__Gordonibacter_pamelaeae"
"360" "UNINTEGRATED|g__Gordonibacter.s__Gordonibacter_sp_An232A"
"361" "UNINTEGRATED|g__Gordonibacter.s__Gordonibacter_urolithinfaciens"
"362" "UNINTEGRATED|g__Granulicatella.s__Granulicatella_adiacens"
"363" "UNINTEGRATED|g__Haemophilus.s__Haemophilus_haemolyticus"
"364" "UNINTEGRATED|g__Haemophilus.s__Haemophilus_influenzae"
"365" "UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae"
"366" "UNINTEGRATED|g__Haemophilus.s__Haemophilus_pittmaniae"
"367" "UNINTEGRATED|g__Haemophilus.s__Haemophilus_sputorum"
"368" "UNINTEGRATED|g__Hafnia.s__Hafnia_alvei"
"369" "UNINTEGRATED|g__Hafnia.s__Hafnia_paralvei"
"370" "UNINTEGRATED|g__Harryflintia.s__Harryflintia_acetispora"
"371" "UNINTEGRATED|g__Holdemanella.s__Holdemanella_biformis"
"372" "UNINTEGRATED|g__Holdemania.s__Holdemania_filiformis"
"373" "UNINTEGRATED|g__Hungatella.s__Hungatella_effluvii"
"374" "UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi"
"375" "UNINTEGRATED|g__Intestinibacter.s__Intestinibacter_bartlettii"
"376" "UNINTEGRATED|g__Intestinimonas.s__Intestinimonas_butyriciproducens"
"377" "UNINTEGRATED|g__Klebsiella.s__Klebsiella_aerogenes"
"378" "UNINTEGRATED|g__Klebsiella.s__Klebsiella_grimontii"
"379" "UNINTEGRATED|g__Klebsiella.s__Klebsiella_michiganensis"
"380" "UNINTEGRATED|g__Klebsiella.s__Klebsiella_oxytoca"
"381" "UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae"
"382" "UNINTEGRATED|g__Klebsiella.s__Klebsiella_quasipneumoniae"
"383" "UNINTEGRATED|g__Klebsiella.s__Klebsiella_variicola"
"384" "UNINTEGRATED|g__Kluyvera.s__Kluyvera_ascorbata"
"385" "UNINTEGRATED|g__Kluyvera.s__Kluyvera_cryocrescens"
"386" "UNINTEGRATED|g__Kosakonia.s__Kosakonia_oryzae"
"387" "UNINTEGRATED|g__Kosakonia.s__Kosakonia_sacchari"
"388" "UNINTEGRATED|g__Lachnoanaerobaculum.s__Lachnoanaerobaculum_saburreum"
"389" "UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_aldenense"
"390" "UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_asparagiforme"
"391" "UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_citroniae"
"392" "UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme"
"393" "UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_lavalense"
"394" "UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_saccharolyticum"
"395" "UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_scindens"
"396" "UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_symbiosum"
"397" "UNINTEGRATED|g__Lachnoclostridium.s__Lachnoclostridium_phytofermentans"
"398" "UNINTEGRATED|g__Lachnoclostridium.s__Lachnoclostridium_sp_An118"
"399" "UNINTEGRATED|g__Lachnoclostridium.s__Lachnoclostridium_sp_An131"
"400" "UNINTEGRATED|g__Lachnoclostridium.s__Lachnoclostridium_sp_An138"
"401" "UNINTEGRATED|g__Lachnoclostridium.s__Lachnoclostridium_sp_An14"
"402" "UNINTEGRATED|g__Lachnoclostridium.s__Lachnoclostridium_sp_An181"
"403" "UNINTEGRATED|g__Lachnospira.s__Lachnospira_pectinoschiza"
"404" "UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale"
"405" "UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_2_1_46FAA"
"406" "UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_OF09_6"
"407" "UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_acidophilus"
"408" "UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_animalis"
"409" "UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_casei_group"
"410" "UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_crispatus"
"411" "UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_delbrueckii"
"412" "UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_fermentum"
"413" "UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_gasseri"
"414" "UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_jensenii"
"415" "UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_oris"
"416" "UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_paragasseri"
"417" "UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_plantarum"
"418" "UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_rhamnosus"
"419" "UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_ruminis"
"420" "UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_sakei"
"421" "UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_salivarius"
"422" "UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_vaginalis"
"423" "UNINTEGRATED|g__Lactococcus.s__Lactococcus_lactis"
"424" "UNINTEGRATED|g__Lactococcus.s__Lactococcus_raffinolactis"
"425" "UNINTEGRATED|g__Lactonifactor.s__Lactonifactor_longoviformis"
"426" "UNINTEGRATED|g__Lawsonibacter.s__Lawsonibacter_asaccharolyticus"
"427" "UNINTEGRATED|g__Leclercia.s__Leclercia_adecarboxylata"
"428" "UNINTEGRATED|g__Leuconostoc.s__Leuconostoc_pseudomesenteroides"
"429" "UNINTEGRATED|g__Massiliomicrobiota.s__Massiliomicrobiota_timonensis"
"430" "UNINTEGRATED|g__Megamonas.s__Megamonas_funiformis"
"431" "UNINTEGRATED|g__Megamonas.s__Megamonas_hypermegale"
"432" "UNINTEGRATED|g__Megamonas.s__Megamonas_rupellensis"
"433" "UNINTEGRATED|g__Megasphaera.s__Megasphaera_elsdenii"
"434" "UNINTEGRATED|g__Megasphaera.s__Megasphaera_hexanoica"
"435" "UNINTEGRATED|g__Megasphaera.s__Megasphaera_micronuciformis"
"436" "UNINTEGRATED|g__Megasphaera.s__Megasphaera_sp_DISK_18"
"437" "UNINTEGRATED|g__Megasphaera.s__Megasphaera_sp_MJR8396C"
"438" "UNINTEGRATED|g__Mesosutterella.s__Mesosutterella_multiformis"
"439" "UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii"
"440" "UNINTEGRATED|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis"
"441" "UNINTEGRATED|g__Methanosphaera.s__Methanosphaera_stadtmanae"
"442" "UNINTEGRATED|g__Mitsuokella.s__Mitsuokella_jalaludinii"
"443" "UNINTEGRATED|g__Mitsuokella.s__Mitsuokella_multacida"
"444" "UNINTEGRATED|g__Mogibacterium.s__Mogibacterium_diversum"
"445" "UNINTEGRATED|g__Monoglobus.s__Monoglobus_pectinilyticus"
"446" "UNINTEGRATED|g__Morganella.s__Morganella_morganii"
"447" "UNINTEGRATED|g__Murimonas.s__Murimonas_intestini"
"448" "UNINTEGRATED|g__Mycoplasma.s__Mycoplasma_sp_CAG_472"
"449" "UNINTEGRATED|g__Mycoplasma.s__Mycoplasma_sp_CAG_776"
"450" "UNINTEGRATED|g__Neisseria.s__Neisseria_sp_oral_taxon_014"
"451" "UNINTEGRATED|g__Odoribacter.s__Odoribacter_laneus"
"452" "UNINTEGRATED|g__Odoribacter.s__Odoribacter_splanchnicus"
"453" "UNINTEGRATED|g__Olsenella.s__Olsenella_sp_An188"
"454" "UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_57_20"
"455" "UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_CAG_155"
"456" "UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_CAG_241"
"457" "UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_valericigenes"
"458" "UNINTEGRATED|g__Oxalobacter.s__Oxalobacter_formigenes"
"459" "UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis"
"460" "UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_goldsteinii"
"461" "UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_johnsonii"
"462" "UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae"
"463" "UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_sp_CAG_409"
"464" "UNINTEGRATED|g__Paraprevotella.s__Paraprevotella_clara"
"465" "UNINTEGRATED|g__Paraprevotella.s__Paraprevotella_xylaniphila"
"466" "UNINTEGRATED|g__Parascardovia.s__Parascardovia_denticolens"
"467" "UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis"
"468" "UNINTEGRATED|g__Pediococcus.s__Pediococcus_acidilactici"
"469" "UNINTEGRATED|g__Pediococcus.s__Pediococcus_pentosaceus"
"470" "UNINTEGRATED|g__Peptoniphilus.s__Peptoniphilus_coxii"
"471" "UNINTEGRATED|g__Peptoniphilus.s__Peptoniphilus_harei"
"472" "UNINTEGRATED|g__Peptostreptococcaceae_unclassified.s__Peptostreptococcaceae_bacterium_oral_taxon_929"
"473" "UNINTEGRATED|g__Peptostreptococcus.s__Peptostreptococcus_anaerobius"
"474" "UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_faecium"
"475" "UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_sp_CAG_266"
"476" "UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens"
"477" "UNINTEGRATED|g__Porphyromonas.s__Porphyromonas_asaccharolytica"
"478" "UNINTEGRATED|g__Porphyromonas.s__Porphyromonas_somerae"
"479" "UNINTEGRATED|g__Porphyromonas.s__Porphyromonas_sp_HMSC065F10"
"480" "UNINTEGRATED|g__Porphyromonas.s__Porphyromonas_sp_HMSC077F02"
"481" "UNINTEGRATED|g__Porphyromonas.s__Porphyromonas_uenonis"
"482" "UNINTEGRATED|g__Prevotella.s__Prevotella_bergensis"
"483" "UNINTEGRATED|g__Prevotella.s__Prevotella_bivia"
"484" "UNINTEGRATED|g__Prevotella.s__Prevotella_buccae"
"485" "UNINTEGRATED|g__Prevotella.s__Prevotella_buccalis"
"486" "UNINTEGRATED|g__Prevotella.s__Prevotella_colorans"
"487" "UNINTEGRATED|g__Prevotella.s__Prevotella_copri"
"488" "UNINTEGRATED|g__Prevotella.s__Prevotella_corporis"
"489" "UNINTEGRATED|g__Prevotella.s__Prevotella_dentalis"
"490" "UNINTEGRATED|g__Prevotella.s__Prevotella_disiens"
"491" "UNINTEGRATED|g__Prevotella.s__Prevotella_oralis"
"492" "UNINTEGRATED|g__Prevotella.s__Prevotella_oris"
"493" "UNINTEGRATED|g__Prevotella.s__Prevotella_sp_109"
"494" "UNINTEGRATED|g__Prevotella.s__Prevotella_sp_885"
"495" "UNINTEGRATED|g__Prevotella.s__Prevotella_sp_AM42_24"
"496" "UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_1031"
"497" "UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_1058"
"498" "UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_1092"
"499" "UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_1124"
"500" "UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_1185"
"501" "UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_1320"
"502" "UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_279"
"503" "UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_386"
"504" "UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_485"
"505" "UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_487"
"506" "UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_520"
"507" "UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_617"
"508" "UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_873"
"509" "UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_891"
"510" "UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_924"
"511" "UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea"
"512" "UNINTEGRATED|g__Prevotella.s__Prevotella_timonensis"
"513" "UNINTEGRATED|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139"
"514" "UNINTEGRATED|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_495"
"515" "UNINTEGRATED|g__Proteus.s__Proteus_mirabilis"
"516" "UNINTEGRATED|g__Proteus.s__Proteus_penneri"
"517" "UNINTEGRATED|g__Pseudoflavonifractor.s__Pseudoflavonifractor_capillosus"
"518" "UNINTEGRATED|g__Pseudoflavonifractor.s__Pseudoflavonifractor_sp_An184"
"519" "UNINTEGRATED|g__Pseudomonas.s__Pseudomonas_aeruginosa"
"520" "UNINTEGRATED|g__Pseudomonas.s__Pseudomonas_aeruginosa_group"
"521" "UNINTEGRATED|g__Pseudomonas.s__Pseudomonas_guguanensis"
"522" "UNINTEGRATED|g__Raoultella.s__Raoultella_ornithinolytica"
"523" "UNINTEGRATED|g__Raoultella.s__Raoultella_planticola"
"524" "UNINTEGRATED|g__Roseburia.s__Roseburia_faecis"
"525" "UNINTEGRATED|g__Roseburia.s__Roseburia_hominis"
"526" "UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis"
"527" "UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans"
"528" "UNINTEGRATED|g__Roseburia.s__Roseburia_sp_CAG_100"
"529" "UNINTEGRATED|g__Roseburia.s__Roseburia_sp_CAG_182"
"530" "UNINTEGRATED|g__Roseburia.s__Roseburia_sp_CAG_197"
"531" "UNINTEGRATED|g__Roseburia.s__Roseburia_sp_CAG_303"
"532" "UNINTEGRATED|g__Roseburia.s__Roseburia_sp_CAG_380"
"533" "UNINTEGRATED|g__Roseburia.s__Roseburia_sp_CAG_471"
"534" "UNINTEGRATED|g__Rothia.s__Rothia_mucilaginosa"
"535" "UNINTEGRATED|g__Rubneribacter.s__Rubneribacter_badeniensis"
"536" "UNINTEGRATED|g__Ruminococcaceae_unclassified.s__Clostridium_leptum"
"537" "UNINTEGRATED|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum"
"538" "UNINTEGRATED|g__Ruminococcaceae_unclassified.s__Ruminococcaceae_bacterium_D16"
"539" "UNINTEGRATED|g__Ruminococcaceae_unclassified.s__Ruminococcaceae_bacterium_D5"
"540" "UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bicirculans"
"541" "UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii"
"542" "UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_callidus"
"543" "UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_champanellensis"
"544" "UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris"
"545" "UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_AF31_8BH"
"546" "UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_177"
"547" "UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_254"
"548" "UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_330"
"549" "UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_353"
"550" "UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_382"
"551" "UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_403"
"552" "UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_488"
"553" "UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_563"
"554" "UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_579"
"555" "UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_624"
"556" "UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_724"
"557" "UNINTEGRATED|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans"
"558" "UNINTEGRATED|g__Saccharomyces.s__Saccharomyces_cerevisiae"
"559" "UNINTEGRATED|g__Sanguibacteroides.s__Sanguibacteroides_justesenii"
"560" "UNINTEGRATED|g__Scardovia.s__Scardovia_wiggsiae"
"561" "UNINTEGRATED|g__Sellimonas.s__Sellimonas_intestinalis"
"562" "UNINTEGRATED|g__Senegalimassilia.s__Senegalimassilia_anaerobia"
"563" "UNINTEGRATED|g__Slackia.s__Slackia_isoflavoniconvertens"
"564" "UNINTEGRATED|g__Sneathia.s__Sneathia_amnii"
"565" "UNINTEGRATED|g__Solobacterium.s__Solobacterium_moorei"
"566" "UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_aureus"
"567" "UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_epidermidis"
"568" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_agalactiae"
"569" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_anginosus_group"
"570" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_australis"
"571" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_cristatus"
"572" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_equinus"
"573" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_gallolyticus"
"574" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_gordonii"
"575" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_infantarius"
"576" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_lutetiensis"
"577" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_macedonicus"
"578" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_milleri"
"579" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_mitis"
"580" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_mutans"
"581" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_oralis"
"582" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_parasanguinis"
"583" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_pasteurianus"
"584" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_pneumoniae"
"585" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_pseudopneumoniae"
"586" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius"
"587" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_sp_A12"
"588" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus"
"589" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_troglodytae"
"590" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_vestibularis"
"591" "UNINTEGRATED|g__Streptococcus.s__Streptococcus_viridans"
"592" "UNINTEGRATED|g__Subdoligranulum.s__Subdoligranulum_sp_APC924_74"
"593" "UNINTEGRATED|g__Succinatimonas.s__Succinatimonas_sp_CAG_777"
"594" "UNINTEGRATED|g__Sutterella.s__Sutterella_sp_CAG_351"
"595" "UNINTEGRATED|g__Sutterella.s__Sutterella_sp_CAG_397"
"596" "UNINTEGRATED|g__Sutterella.s__Sutterella_sp_CAG_521"
"597" "UNINTEGRATED|g__Sutterella.s__Sutterella_wadsworthensis"
"598" "UNINTEGRATED|g__Terrisporobacter.s__Terrisporobacter_othiniensis"
"599" "UNINTEGRATED|g__Tissierellia_unclassified.s__Bacteroides_coagulans"
"600" "UNINTEGRATED|g__Turicibacter.s__Turicibacter_sanguinis"
"601" "UNINTEGRATED|g__Turicimonas.s__Turicimonas_muris"
"602" "UNINTEGRATED|g__Tyzzerella.s__Tyzzerella_nexilis"
"603" "UNINTEGRATED|g__Varibaculum.s__Varibaculum_cambriense"
"604" "UNINTEGRATED|g__Veillonella.s__Veillonella_atypica"
"605" "UNINTEGRATED|g__Veillonella.s__Veillonella_dispar"
"606" "UNINTEGRATED|g__Veillonella.s__Veillonella_infantium"
"607" "UNINTEGRATED|g__Veillonella.s__Veillonella_parvula"
"608" "UNINTEGRATED|g__Veillonella.s__Veillonella_rogosae"
"609" "UNINTEGRATED|g__Veillonella.s__Veillonella_seminalis"
"610" "UNINTEGRATED|g__Veillonella.s__Veillonella_sp_CAG_933"
"611" "UNINTEGRATED|g__Veillonella.s__Veillonella_tobetsuensis"
"612" "UNINTEGRATED|g__Victivallales_unclassified.s__Victivallales_bacterium_CCUG_44730"
"613" "UNINTEGRATED|g__Victivallis.s__Victivallis_vadensis"
"614" "UNINTEGRATED|unclassified"
"615" "1CMET2-PWY: folate transformations III (E. coli)|g__Akkermansia.s__Akkermansia_muciniphila"
"616" "1CMET2-PWY: folate transformations III (E. coli)|g__Alistipes.s__Alistipes_finegoldii"
"617" "1CMET2-PWY: folate transformations III (E. coli)|g__Alistipes.s__Alistipes_onderdonkii"
"618" "1CMET2-PWY: folate transformations III (E. coli)|g__Alistipes.s__Alistipes_putredinis"
"619" "1CMET2-PWY: folate transformations III (E. coli)|g__Alistipes.s__Alistipes_sp_CAG_268"
"620" "1CMET2-PWY: folate transformations III (E. coli)|g__Alistipes.s__Alistipes_timonensis"
"621" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_caccae"
"622" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_cellulosilyticus"
"623" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_clarus"
"624" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_coprocola"
"625" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_coprophilus"
"626" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_dorei"
"627" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_eggerthii"
"628" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_faecis"
"629" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_finegoldii"
"630" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_fluxus"
"631" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_fragilis"
"632" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_intestinalis"
"633" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_massiliensis"
"634" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_nordii"
"635" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_ovatus"
"636" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_plebeius"
"637" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_salanitronis"
"638" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_salyersiae"
"639" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_sartorii"
"640" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_sp_An322"
"641" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_sp_CAG_443"
"642" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_sp_CAG_462"
"643" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_sp_CAG_530"
"644" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_sp_CAG_598"
"645" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_sp_CAG_714"
"646" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_sp_OM08_11"
"647" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_stercorirosoris"
"648" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_stercoris"
"649" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_thetaiotaomicron"
"650" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_uniformis"
"651" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_vulgatus"
"652" "1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_xylanisolvens"
"653" "1CMET2-PWY: folate transformations III (E. coli)|g__Barnesiella.s__Barnesiella_intestinihominis"
"654" "1CMET2-PWY: folate transformations III (E. coli)|g__Barnesiella.s__Barnesiella_sp_An22"
"655" "1CMET2-PWY: folate transformations III (E. coli)|g__Blautia.s__Blautia_obeum"
"656" "1CMET2-PWY: folate transformations III (E. coli)|g__Blautia.s__Blautia_sp_CAG_257"
"657" "1CMET2-PWY: folate transformations III (E. coli)|g__Blautia.s__Ruminococcus_torques"
"658" "1CMET2-PWY: folate transformations III (E. coli)|g__Butyricimonas.s__Butyricimonas_synergistica"
"659" "1CMET2-PWY: folate transformations III (E. coli)|g__Butyricimonas.s__Butyricimonas_virosa"
"660" "1CMET2-PWY: folate transformations III (E. coli)|g__Catenibacterium.s__Catenibacterium_mitsuokai"
"661" "1CMET2-PWY: folate transformations III (E. coli)|g__Citrobacter.s__Citrobacter_amalonaticus"
"662" "1CMET2-PWY: folate transformations III (E. coli)|g__Citrobacter.s__Citrobacter_braakii"
"663" "1CMET2-PWY: folate transformations III (E. coli)|g__Citrobacter.s__Citrobacter_freundii"
"664" "1CMET2-PWY: folate transformations III (E. coli)|g__Citrobacter.s__Citrobacter_youngae"
"665" "1CMET2-PWY: folate transformations III (E. coli)|g__Clostridiales_unclassified.s__Bacteroides_pectinophilus"
"666" "1CMET2-PWY: folate transformations III (E. coli)|g__Clostridioides.s__Clostridioides_difficile"
"667" "1CMET2-PWY: folate transformations III (E. coli)|g__Clostridium.s__Clostridium_sp_CAG_221"
